# Ensemble size: 50, Steps: 1000000, Burn in steps: 0, Samples: 100
H,H^2
2.100000,1673.290000,
-522.840000,274054.250000,
-542.060000,294197.370000,
-554.500000,307934.770000,
-568.200000,323349.210000,
-574.660000,331109.090000,
-585.020000,343165.770000,
-588.540000,347693.130000,
-593.300000,353131.770000,
-601.120000,362372.970000,
-605.000000,367085.410000,
-610.060000,373416.090000,
-614.160000,378365.570000,
-616.660000,381502.130000,
-619.180000,384615.290000,
-620.780000,386623.490000,
-623.560000,389853.050000,
-624.620000,391333.610000,
-625.520000,392412.210000,
-626.560000,393745.610000,
-632.160000,400684.370000,
-631.660000,400145.170000,
-631.460000,399961.250000,
-632.620000,401276.770000,
-633.300000,401904.730000,
-636.240000,405764.170000,
-641.420000,412199.490000,
-638.360000,408407.450000,
-638.720000,408750.010000,
-640.020000,410464.490000,
-639.640000,409975.410000,
-640.380000,410902.810000,
-641.320000,412065.450000,
-639.280000,409389.690000,
-639.280000,409320.890000,
-639.800000,410178.370000,
-644.420000,416049.450000,
-641.660000,412437.730000,
-641.000000,411559.410000,
-642.720000,413752.450000,
-644.420000,415998.010000,
-641.860000,412635.890000,
-643.380000,414578.890000,
-642.440000,413496.570000,
-645.020000,416682.690000,
-643.840000,415146.730000,
-645.400000,417187.890000,
-643.280000,414545.250000,
-645.480000,417387.010000,
-645.780000,417697.850000,
-647.320000,419685.570000,
-648.300000,420799.170000,
-647.700000,420159.770000,
-646.200000,418107.610000,
-647.620000,419975.370000,
-648.700000,421322.650000,
-648.900000,421544.530000,
-647.560000,419828.450000,
-648.440000,420944.450000,
-649.740000,422748.490000,
-650.200000,423199.970000,
-649.960000,422949.370000,
-649.240000,421951.650000,
-649.480000,422282.170000,
-648.900000,421546.050000,
-648.920000,421641.250000,
-651.640000,424983.530000,
-651.360000,424704.730000,
-650.260000,423241.050000,
-647.260000,419262.690000,
-653.020000,426845.290000,
-654.120000,428147.130000,
-651.640000,424910.890000,
-654.020000,427942.770000,
-653.920000,427801.730000,
-653.220000,426860.650000,
-654.080000,427933.490000,
-655.180000,429397.250000,
-651.660000,424853.290000,
-653.520000,427205.290000,
-654.060000,427927.970000,
-655.440000,429735.930000,
-655.160000,429404.690000,
-654.920000,429071.450000,
-653.940000,427789.890000,
-654.440000,428441.810000,
-656.320000,430877.010000,
-653.200000,426815.330000,
-653.760000,427539.610000,
-654.540000,428585.970000,
-653.120000,426747.250000,
-653.220000,426866.650000,
-653.280000,426918.730000,
-653.540000,427242.770000,
-651.860000,425084.130000,
-654.760000,428885.010000,
-652.980000,426516.970000,
-653.160000,426752.570000,
-653.400000,427073.250000,
-656.040000,430526.650000,
