# Ensemble size: 5, Steps: 1000000, Burn in steps: 0, Samples: 100
step,H,H^2
0,3.600000,201.600000,
10000,-392.400000,154496.800000,
20000,-415.200000,172868.800000,
30000,-417.200000,174657.600000,
40000,-421.600000,177927.200000,
50000,-418.400000,175536.800000,
60000,-430.400000,186105.600000,
70000,-436.000000,190424.000000,
80000,-435.200000,189827.200000,
90000,-423.600000,179971.200000,
100000,-435.600000,190131.200000,
110000,-431.200000,186695.200000,
120000,-436.800000,191196.800000,
130000,-436.800000,191728.800000,
140000,-432.400000,187286.400000,
150000,-425.200000,181256.800000,
160000,-427.200000,182876.000000,
170000,-433.600000,188751.200000,
180000,-437.200000,191471.200000,
190000,-436.000000,190332.000000,
200000,-442.800000,196220.000000,
210000,-447.200000,200040.800000,
220000,-442.400000,195853.600000,
230000,-447.600000,200386.400000,
240000,-444.400000,197560.000000,
250000,-447.200000,200071.200000,
260000,-448.400000,201080.800000,
270000,-446.000000,198969.600000,
280000,-444.800000,197946.400000,
290000,-446.400000,199351.200000,
300000,-449.200000,201808.800000,
310000,-444.800000,197936.000000,
320000,-447.200000,200051.200000,
330000,-443.200000,196615.200000,
340000,-439.200000,192926.400000,
350000,-448.000000,200776.800000,
360000,-446.800000,199653.600000,
370000,-443.600000,196827.200000,
380000,-444.400000,197580.800000,
390000,-445.600000,198632.800000,
400000,-443.200000,196504.800000,
410000,-443.200000,196560.000000,
420000,-451.200000,203620.000000,
430000,-446.400000,199398.400000,
440000,-447.600000,200412.800000,
450000,-450.000000,202611.200000,
460000,-445.600000,198587.200000,
470000,-437.600000,191527.200000,
480000,-448.400000,201134.400000,
490000,-444.800000,197939.200000,
500000,-446.800000,199656.000000,
510000,-449.600000,202205.600000,
520000,-447.600000,200592.800000,
530000,-446.000000,198974.400000,
540000,-450.400000,202899.200000,
550000,-452.000000,204336.800000,
560000,-447.200000,200111.200000,
570000,-442.000000,195384.000000,
580000,-449.600000,202216.800000,
590000,-441.600000,195150.400000,
600000,-452.800000,205098.400000,
610000,-451.200000,203590.400000,
620000,-448.400000,201132.000000,
630000,-447.200000,200044.800000,
640000,-444.800000,197983.200000,
650000,-448.000000,200713.600000,
660000,-450.400000,202868.000000,
670000,-441.600000,195059.200000,
680000,-451.200000,203686.400000,
690000,-448.800000,201498.400000,
700000,-446.800000,199674.400000,
710000,-441.200000,194761.600000,
720000,-444.400000,197623.200000,
730000,-445.200000,198240.800000,
740000,-445.200000,198246.400000,
750000,-445.200000,198219.200000,
760000,-438.800000,192633.600000,
770000,-448.000000,200821.600000,
780000,-445.600000,198572.800000,
790000,-442.800000,196205.600000,
800000,-444.000000,197236.000000,
810000,-440.000000,193724.800000,
820000,-445.600000,198639.200000,
830000,-446.400000,199280.800000,
840000,-440.800000,194377.600000,
850000,-441.200000,194727.200000,
860000,-444.400000,197521.600000,
870000,-436.400000,190489.600000,
880000,-445.600000,198717.600000,
890000,-442.000000,195551.200000,
900000,-449.200000,201800.000000,
910000,-448.000000,200908.800000,
920000,-446.800000,199701.600000,
930000,-442.000000,195416.000000,
940000,-442.400000,195923.200000,
950000,-448.000000,200756.800000,
960000,-445.600000,198618.400000,
970000,-441.600000,195032.000000,
980000,-444.800000,197924.800000,
990000,-443.600000,196844.000000,
