# Ensemble size: 100, Steps: 10000, Burn in steps: 0, Samples: 100
# L = 8, Lz = 4, T = 2.125, Jz = 0.1000
step,H,H^2
0,-4.356000,527.296000,
100,-187.456000,35512.108800,
200,-205.096000,42373.156800,
300,-212.636000,45592.524800,
400,-215.224000,46760.203200,
500,-222.112000,49939.747200,
600,-226.136000,51608.195200,
700,-227.920000,52618.209600,
800,-231.188000,54124.729600,
900,-232.672000,54841.710400,
1000,-232.196000,54549.292800,
1100,-232.932000,54786.336000,
1200,-238.836000,57669.228800,
1300,-241.516000,59024.913600,
1400,-243.080000,59781.036800,
1500,-238.244000,57613.792000,
1600,-240.156000,58427.369600,
1700,-240.916000,58677.280000,
1800,-241.240000,58926.596800,
1900,-240.884000,58710.691200,
2000,-245.440000,60778.009600,
2100,-239.784000,58172.936000,
2200,-242.384000,59317.105600,
2300,-242.824000,59733.614400,
2400,-237.124000,56856.924800,
2500,-242.508000,59445.628800,
2600,-239.840000,58176.064000,
2700,-243.132000,59755.900800,
2800,-244.684000,60383.929600,
2900,-244.116000,60304.976000,
3000,-245.052000,60710.232000,
3100,-242.024000,59256.878400,
3200,-244.172000,60202.907200,
3300,-243.848000,60043.688000,
3400,-246.008000,61151.915200,
3500,-245.676000,60924.696000,
3600,-241.640000,59225.243200,
3700,-243.000000,59616.832000,
3800,-245.528000,60898.356800,
3900,-242.308000,59376.472000,
4000,-245.588000,60914.192000,
4100,-247.672000,61966.633600,
4200,-248.036000,62115.451200,
4300,-246.856000,61594.323200,
4400,-248.468000,62371.275200,
4500,-247.796000,62034.179200,
4600,-249.040000,62533.648000,
4700,-245.364000,60832.446400,
4800,-249.112000,62761.854400,
4900,-242.952000,59699.945600,
5000,-245.584000,60831.884800,
5100,-243.764000,60015.448000,
5200,-246.488000,61371.833600,
5300,-245.932000,61135.004800,
5400,-248.132000,62289.128000,
5500,-252.716000,64574.592000,
5600,-244.608000,60625.048000,
5700,-244.908000,60865.795200,
5800,-245.452000,60921.675200,
5900,-243.504000,60051.312000,
6000,-248.040000,62278.486400,
6100,-250.636000,63579.372800,
6200,-244.476000,60508.889600,
6300,-244.472000,60522.552000,
6400,-241.404000,58955.875200,
6500,-246.484000,61436.440000,
6600,-245.464000,60768.995200,
6700,-246.964000,61643.244800,
6800,-245.844000,61007.155200,
6900,-249.868000,63147.534400,
7000,-252.136000,64240.889600,
7100,-250.788000,63567.553600,
7200,-248.592000,62364.584000,
7300,-246.736000,61431.500800,
7400,-246.864000,61671.225600,
7500,-247.604000,61795.502400,
7600,-248.300000,62305.022400,
7700,-249.340000,62826.756800,
7800,-248.816000,62419.910400,
7900,-246.952000,61681.235200,
8000,-250.912000,63604.249600,
8100,-249.572000,62900.136000,
8200,-248.184000,62282.158400,
8300,-247.068000,61749.363200,
8400,-246.284000,61294.284800,
8500,-245.940000,61067.284800,
8600,-244.016000,60192.011200,
8700,-246.100000,61174.011200,
8800,-244.672000,60523.331200,
8900,-246.372000,61368.107200,
9000,-249.896000,63056.081600,
9100,-244.400000,60346.195200,
9200,-243.700000,60004.462400,
9300,-248.624000,62666.347200,
9400,-248.292000,62391.259200,
9500,-248.100000,62111.916800,
9600,-247.916000,61936.724800,
9700,-251.204000,63849.361600,
9800,-247.800000,62022.254400,
9900,-250.176000,63189.923200,
