# Ensemble size: 5, Steps: 10000, Burn in steps: 0, Samples: 100
step,H,H^2
0,10.200000,1525.400000,
100,-197.800000,40066.200000,
200,-209.400000,44535.000000,
300,-213.400000,46661.400000,
400,-226.200000,52546.200000,
500,-223.400000,50158.200000,
600,-235.000000,56143.000000,
700,-255.000000,65267.800000,
800,-277.400000,77293.400000,
900,-271.800000,74607.800000,
1000,-276.200000,76705.400000,
1100,-275.000000,76457.400000,
1200,-299.400000,89902.200000,
1300,-293.400000,86731.000000,
1400,-271.400000,73844.600000,
1500,-280.200000,79459.800000,
1600,-300.200000,90690.200000,
1700,-285.800000,82787.800000,
1800,-288.200000,84075.000000,
1900,-312.200000,99155.800000,
2000,-280.600000,79910.200000,
2100,-288.600000,84126.200000,
2200,-287.000000,83538.200000,
2300,-283.800000,80719.000000,
2400,-297.800000,89291.000000,
2500,-295.000000,87844.600000,
2600,-302.200000,91980.600000,
2700,-305.400000,93767.800000,
2800,-295.800000,88163.000000,
2900,-292.200000,86259.000000,
3000,-300.200000,93407.000000,
3100,-309.800000,97194.200000,
3200,-312.600000,98138.200000,
3300,-297.800000,89293.400000,
3400,-289.400000,85071.000000,
3500,-294.200000,89340.600000,
3600,-294.600000,88759.000000,
3700,-315.800000,101138.200000,
3800,-319.000000,102447.800000,
3900,-307.800000,96068.600000,
4000,-321.400000,103693.400000,
4100,-303.000000,92747.000000,
4200,-275.000000,76337.400000,
4300,-293.400000,86875.800000,
4400,-280.600000,79959.000000,
4500,-299.800000,90244.600000,
4600,-285.400000,82474.200000,
4700,-283.800000,81331.800000,
4800,-291.800000,86058.200000,
4900,-298.600000,90782.200000,
5000,-291.800000,85323.800000,
5100,-284.200000,81991.800000,
5200,-311.800000,99553.400000,
5300,-293.000000,86970.200000,
5400,-293.000000,86990.200000,
5500,-288.600000,83980.600000,
5600,-302.600000,92164.600000,
5700,-302.200000,91866.200000,
5800,-308.200000,95810.200000,
5900,-299.800000,91729.400000,
6000,-293.400000,87268.600000,
6100,-317.800000,101465.400000,
6200,-309.800000,96231.000000,
6300,-299.400000,90836.600000,
6400,-283.000000,80628.600000,
6500,-286.600000,84837.400000,
6600,-291.800000,86147.000000,
6700,-315.000000,101139.000000,
6800,-312.600000,99625.400000,
6900,-313.800000,100519.000000,
7000,-311.000000,97496.600000,
7100,-311.400000,97463.000000,
7200,-301.000000,91811.000000,
7300,-280.600000,79164.600000,
7400,-303.400000,92787.000000,
7500,-302.600000,91991.000000,
7600,-278.600000,77988.600000,
7700,-269.000000,74013.400000,
7800,-279.000000,78944.600000,
7900,-294.200000,87219.000000,
8000,-276.600000,76995.800000,
8100,-292.200000,86292.600000,
8200,-285.800000,82669.400000,
8300,-277.800000,77666.200000,
8400,-295.800000,87584.600000,
8500,-295.000000,87971.000000,
8600,-307.000000,94392.600000,
8700,-317.800000,101278.200000,
8800,-319.400000,102519.000000,
8900,-329.800000,109001.400000,
9000,-320.600000,103124.600000,
9100,-314.600000,99476.600000,
9200,-291.800000,86019.800000,
9300,-303.000000,92257.400000,
9400,-284.600000,81527.800000,
9500,-297.800000,89523.000000,
9600,-300.600000,92559.000000,
9700,-315.400000,100801.400000,
9800,-298.600000,90259.800000,
9900,-305.800000,94470.200000,
