# Ensemble size: 50, Steps: 1000, Burn in steps: 0, Samples: 100
step,H,H^2
0,7.640000,393.560000,
10,-152.840000,23670.040000,
20,-178.880000,32231.160000,
30,-192.040000,37060.840000,
40,-201.440000,40774.680000,
50,-208.960000,43845.400000,
60,-213.800000,45910.360000,
70,-220.160000,48658.520000,
80,-223.040000,49905.240000,
90,-225.400000,50992.760000,
100,-228.680000,52486.120000,
110,-230.960000,53523.560000,
120,-232.000000,54017.560000,
130,-235.560000,55690.360000,
140,-237.560000,56633.240000,
150,-240.800000,58185.480000,
160,-243.640000,59569.720000,
170,-244.400000,59981.960000,
180,-247.440000,61494.760000,
190,-248.680000,62096.520000,
200,-250.600000,63081.720000,
210,-253.080000,64329.240000,
220,-255.240000,65438.840000,
230,-255.280000,65450.280000,
240,-256.880000,66267.240000,
250,-259.000000,67434.360000,
260,-260.120000,68019.720000,
270,-261.440000,68657.880000,
280,-262.160000,69013.720000,
290,-263.280000,69624.120000,
300,-264.680000,70351.000000,
310,-266.080000,71081.240000,
320,-266.520000,71349.400000,
330,-268.120000,72166.040000,
340,-267.840000,72049.080000,
350,-267.720000,71989.960000,
360,-268.800000,72550.040000,
370,-270.160000,73277.800000,
380,-271.120000,73787.160000,
390,-270.880000,73663.960000,
400,-272.360000,74490.280000,
410,-273.280000,74999.960000,
420,-274.200000,75488.040000,
430,-274.800000,75829.800000,
440,-276.080000,76516.280000,
450,-274.320000,75569.160000,
460,-276.840000,76951.000000,
470,-276.880000,76997.080000,
480,-276.240000,76604.040000,
490,-277.920000,77587.640000,
500,-277.640000,77437.640000,
510,-278.480000,77918.280000,
520,-279.200000,78280.680000,
530,-278.560000,77950.360000,
540,-279.040000,78206.840000,
550,-279.840000,78633.480000,
560,-280.920000,79225.640000,
570,-280.840000,79193.400000,
580,-282.720000,80257.480000,
590,-283.560000,80727.640000,
600,-282.680000,80207.000000,
610,-284.400000,81143.080000,
620,-284.720000,81362.280000,
630,-285.000000,81519.560000,
640,-284.560000,81274.920000,
650,-283.480000,80662.120000,
660,-285.440000,81766.040000,
670,-286.240000,82195.240000,
680,-286.080000,82118.280000,
690,-285.680000,81881.560000,
700,-288.160000,83301.480000,
710,-288.200000,83332.120000,
720,-288.160000,83360.440000,
730,-289.200000,84008.920000,
740,-289.640000,84211.720000,
750,-289.960000,84368.760000,
760,-290.440000,84645.320000,
770,-291.640000,85327.640000,
780,-291.880000,85469.640000,
790,-292.840000,86047.720000,
800,-293.200000,86278.440000,
810,-293.400000,86403.480000,
820,-294.120000,86829.160000,
830,-294.240000,86901.000000,
840,-295.360000,87534.200000,
850,-294.640000,87125.000000,
860,-295.760000,87773.640000,
870,-295.720000,87744.440000,
880,-296.040000,87956.840000,
890,-297.040000,88531.480000,
900,-296.200000,88037.000000,
910,-296.920000,88459.800000,
920,-297.080000,88535.320000,
930,-297.600000,88847.240000,
940,-297.920000,89037.240000,
950,-298.520000,89431.720000,
960,-299.440000,89969.800000,
970,-299.840000,90174.680000,
980,-298.640000,89493.640000,
990,-300.200000,90386.120000,
