# Ensemble size: 10, Steps: 15000, Burn in steps: 0, Samples: 200
# L = 16, Lz = 8, T = 1.875, Jz = 0.1000
step,H,H^2
0,-0.880000,1261.440000,
75,-1750.520000,3069075.072000,
150,-1954.680000,3823067.008000,
225,-2067.560000,4277657.792000,
300,-2140.680000,4584979.616000,
375,-2137.120000,4570988.576000,
450,-2160.160000,4668758.720000,
525,-2225.160000,4954641.600000,
600,-2235.880000,5004157.280000,
675,-2273.320000,5171823.696000,
750,-2282.320000,5213739.664000,
825,-2322.480000,5397030.352000,
900,-2324.520000,5408772.368000,
975,-2340.160000,5478368.288000,
1050,-2364.880000,5594286.656000,
1125,-2378.960000,5662201.152000,
1200,-2383.560000,5684627.392000,
1275,-2380.360000,5668289.488000,
1350,-2401.720000,5770018.944000,
1425,-2411.920000,5820898.880000,
1500,-2451.360000,6012817.968000,
1575,-2468.040000,6093620.720000,
1650,-2467.760000,6092304.816000,
1725,-2475.080000,6129457.984000,
1800,-2475.160000,6128645.072000,
1875,-2458.480000,6049154.144000,
1950,-2476.600000,6138334.160000,
2025,-2507.600000,6292964.992000,
2100,-2493.360000,6219941.648000,
2175,-2524.520000,6374601.792000,
2250,-2522.400000,6364504.512000,
2325,-2553.080000,6521232.336000,
2400,-2548.680000,6497954.080000,
2475,-2549.280000,6500951.360000,
2550,-2575.360000,6634793.424000,
2625,-2585.960000,6689972.096000,
2700,-2592.920000,6726668.704000,
2775,-2611.600000,6824953.600000,
2850,-2590.360000,6712200.416000,
2925,-2603.840000,6785895.424000,
3000,-2602.960000,6777804.416000,
3075,-2645.120000,7000923.056000,
3150,-2622.120000,6879546.768000,
3225,-2615.000000,6842065.536000,
3300,-2611.680000,6823888.624000,
3375,-2629.920000,6918892.368000,
3450,-2596.200000,6742666.400000,
3525,-2614.360000,6839222.448000,
3600,-2647.600000,7016266.400000,
3675,-2626.800000,6906860.272000,
3750,-2619.280000,6865532.032000,
3825,-2613.760000,6836292.592000,
3900,-2642.280000,6985786.464000,
3975,-2628.960000,6914403.600000,
4050,-2621.200000,6875957.712000,
4125,-2625.960000,6898026.224000,
4200,-2611.680000,6826228.016000,
4275,-2641.880000,6984947.568000,
4350,-2649.760000,7028282.000000,
4425,-2649.040000,7021513.360000,
4500,-2658.760000,7074160.816000,
4575,-2648.120000,7019257.248000,
4650,-2665.360000,7107413.440000,
4725,-2664.240000,7103281.040000,
4800,-2685.160000,7216134.768000,
4875,-2694.840000,7267251.168000,
4950,-2684.760000,7213351.968000,
5025,-2695.920000,7272657.840000,
5100,-2692.240000,7250314.336000,
5175,-2671.760000,7142996.608000,
5250,-2679.960000,7185083.216000,
5325,-2682.400000,7198095.104000,
5400,-2686.960000,7221766.656000,
5475,-2702.520000,7307662.928000,
5550,-2711.120000,7354550.336000,
5625,-2695.360000,7270551.328000,
5700,-2694.960000,7266631.744000,
5775,-2714.880000,7374641.664000,
5850,-2732.880000,7471409.664000,
5925,-2711.400000,7355686.944000,
6000,-2707.160000,7332261.184000,
6075,-2728.800000,7448467.504000,
6150,-2729.800000,7454886.032000,
6225,-2693.240000,7256592.944000,
6300,-2701.480000,7299826.240000,
6375,-2707.200000,7330726.576000,
6450,-2730.840000,7460242.304000,
6525,-2741.160000,7517380.512000,
6600,-2724.800000,7427190.736000,
6675,-2717.880000,7389156.368000,
6750,-2745.480000,7542187.408000,
6825,-2716.640000,7381550.512000,
6900,-2747.320000,7550571.376000,
6975,-2697.760000,7280298.240000,
7050,-2749.600000,7562696.480000,
7125,-2754.160000,7589414.976000,
7200,-2730.520000,7460479.072000,
7275,-2722.760000,7418560.560000,
7350,-2734.080000,7479718.000000,
7425,-2729.760000,7459972.416000,
7500,-2737.000000,7498649.328000,
7575,-2767.080000,7659080.800000,
7650,-2750.880000,7570978.496000,
7725,-2744.440000,7537988.912000,
7800,-2756.120000,7602833.424000,
7875,-2751.440000,7573470.976000,
7950,-2756.520000,7604923.568000,
8025,-2754.880000,7597072.128000,
8100,-2754.040000,7589158.816000,
8175,-2758.880000,7619786.000000,
8250,-2791.760000,7797778.688000,
8325,-2793.960000,7808755.920000,
