# Ensemble size: 10, Sample period: 20, Burn in steps: 100000, Samples: 1000
# L = 32, Lz = 8, T = 2.551, Jz = 0.1000
step,H,delta^2
100000,-10003.000000,0.383020
100020,-10093.800000,0.384241
100040,-10030.200000,0.384143
100060,-9973.360000,0.382263
100080,-10031.080000,0.384119
100100,-9995.640000,0.384180
100120,-10013.120000,0.384448
100140,-10057.600000,0.383887
100160,-10004.560000,0.387720
100180,-10064.120000,0.386890
100200,-10085.240000,0.387805
100220,-10068.400000,0.389307
100240,-10094.880000,0.389539
100260,-10121.800000,0.392773
100280,-10100.920000,0.391479
100300,-10093.800000,0.391187
100320,-10019.520000,0.391956
100340,-10030.000000,0.392273
100360,-10026.720000,0.387195
100380,-10075.800000,0.393005
100400,-10108.040000,0.389990
100420,-10076.480000,0.386938
100440,-10073.440000,0.384692
100460,-10119.200000,0.384412
100480,-10091.880000,0.386499
100500,-10055.680000,0.387195
100520,-10141.360000,0.389136
100540,-10091.440000,0.391077
100560,-10070.400000,0.390356
100580,-10086.640000,0.387048
100600,-10085.120000,0.389233
100620,-10085.960000,0.390112
100640,-10031.120000,0.387646
100660,-10071.720000,0.387756
100680,-10085.040000,0.390100
100700,-10007.160000,0.391870
100720,-9996.600000,0.390332
100740,-10069.680000,0.391687
100760,-10063.360000,0.389819
100780,-10060.000000,0.390186
100800,-10075.520000,0.390466
100820,-10018.440000,0.388599
100840,-10065.240000,0.386084
100860,-10052.600000,0.387622
100880,-10062.320000,0.386816
100900,-9950.760000,0.384937
100920,-10010.800000,0.381946
100940,-10034.400000,0.384766
100960,-10058.240000,0.383618
100980,-10057.440000,0.383533
101000,-10053.400000,0.383850
101020,-10027.560000,0.380847
101040,-9989.600000,0.382019
101060,-10019.840000,0.382104
101080,-10043.640000,0.381726
101100,-10010.480000,0.382129
101120,-9984.720000,0.379822
101140,-9981.040000,0.381543
101160,-10021.600000,0.381641
101180,-10089.480000,0.382800
101200,-10088.400000,0.381995
101220,-10021.680000,0.383740
101240,-10002.760000,0.384204
101260,-10007.920000,0.387073
101280,-9959.400000,0.386719
101300,-10022.040000,0.386877
101320,-9919.480000,0.383777
101340,-9932.840000,0.382141
101360,-10019.600000,0.384045
101380,-10053.200000,0.382275
101400,-10003.760000,0.381970
101420,-10043.440000,0.381458
101440,-10024.560000,0.379565
101460,-9988.200000,0.377551
101480,-9978.360000,0.378625
101500,-10022.640000,0.378796
101520,-9978.960000,0.381055
101540,-10027.560000,0.380090
101560,-10006.720000,0.381409
101580,-10033.400000,0.380139
101600,-10029.600000,0.381250
101620,-10003.280000,0.377893
101640,-9972.120000,0.379651
101660,-9978.200000,0.379358
101680,-10008.640000,0.380225
101700,-10047.320000,0.379504
101720,-10083.760000,0.386011
101740,-10074.080000,0.384192
101760,-9975.680000,0.383374
