# Ensemble size: 100, Steps: 5000, Burn in steps: 0, Samples: 100
# L = 8, Lz = 4, T = 2.750, Jz = 0.1000
step,H,H^2
0,2.682000,370.890800,
50,-143.918000,21096.527600,
100,-158.150000,25555.726000,
150,-165.662000,27840.167600,
200,-163.926000,27354.644400,
250,-168.930000,29155.431600,
300,-168.434000,28956.014000,
350,-171.838000,30161.671600,
400,-173.206000,30578.585200,
450,-173.626000,30896.822000,
500,-176.578000,31889.081200,
550,-176.806000,31989.132400,
600,-178.714000,32481.895600,
650,-177.578000,32102.510000,
700,-178.042000,32318.300400,
750,-179.074000,32581.423600,
800,-175.894000,31580.959600,
850,-177.186000,32026.082800,
900,-175.682000,31332.124400,
950,-175.046000,31260.129200,
1000,-178.870000,32488.002800,
1050,-175.350000,31245.378800,
1100,-174.234000,30846.882800,
1150,-171.370000,29903.630000,
1200,-176.718000,31723.025200,
1250,-176.674000,31885.362800,
1300,-177.678000,32086.489200,
1350,-172.982000,30581.966000,
1400,-175.406000,31432.430000,
1450,-174.794000,31144.391600,
1500,-174.318000,31122.774000,
1550,-175.054000,31247.578800,
1600,-177.218000,32064.575600,
1650,-179.518000,32887.358000,
1700,-174.570000,31051.892400,
1750,-179.170000,32695.918000,
1800,-178.310000,32436.782000,
1850,-182.362000,33873.762800,
1900,-177.958000,32291.734000,
1950,-176.934000,32088.110000,
2000,-180.286000,33171.462000,
2050,-179.854000,33126.607600,
2100,-177.178000,32105.706800,
2150,-177.758000,32112.647600,
2200,-175.782000,31522.297200,
2250,-173.266000,30471.583600,
2300,-180.442000,33227.929200,
2350,-177.518000,32222.930800,
2400,-177.702000,32195.423600,
2450,-178.634000,32396.076400,
2500,-178.986000,32622.322800,
2550,-174.690000,31145.138800,
2600,-178.806000,32757.511600,
2650,-175.470000,31496.903600,
2700,-176.098000,31679.727600,
2750,-175.710000,31405.887600,
2800,-177.966000,32393.790000,
2850,-173.998000,31047.194800,
2900,-177.214000,31901.260400,
2950,-176.494000,32103.814000,
3000,-173.266000,30723.681200,
3050,-175.530000,31383.924400,
3100,-173.854000,30761.031600,
3150,-175.846000,31528.967600,
3200,-172.610000,30438.753200,
3250,-174.022000,30812.924400,
3300,-172.486000,30347.110000,
3350,-175.566000,31435.759600,
3400,-175.982000,31443.009200,
3450,-175.114000,31291.657200,
3500,-175.814000,31639.737200,
3550,-174.462000,30885.716400,
3600,-178.246000,32388.481200,
3650,-177.590000,32126.423600,
3700,-176.430000,31689.950000,
3750,-175.898000,31636.359600,
3800,-175.886000,31677.207600,
3850,-178.594000,32484.906800,
3900,-181.886000,33673.161200,
3950,-179.610000,32846.959600,
4000,-178.850000,32557.199600,
4050,-176.846000,31964.010800,
4100,-177.462000,32127.970800,
4150,-176.582000,31825.562800,
4200,-178.542000,32462.580400,
4250,-179.958000,33001.783600,
4300,-176.526000,31733.770800,
4350,-175.270000,31473.785200,
4400,-176.190000,31761.423600,
4450,-178.198000,32350.994800,
4500,-175.202000,31262.678000,
4550,-177.562000,32121.551600,
4600,-178.482000,32573.322800,
4650,-179.666000,33023.418800,
4700,-175.794000,31530.079600,
4750,-176.514000,31904.354800,
4800,-177.394000,32200.815600,
4850,-175.858000,31512.530800,
4900,-172.986000,30518.522800,
4950,-175.094000,31281.759600,
