# Ensemble size: 1, Steps: 10000, Burn in steps: 0, Samples: 200
# L = 16, Lz = 8, T = 1.500, Jz = 0.1000
step,H,H^2,delta^2,
0,54.800000,3003.040000,0.125030,
50,-1872.000000,3504384.000000,0.115752,
100,-2054.000000,4218916.000000,0.121612,
150,-2163.600000,4681164.960000,0.127959,
200,-2207.600000,4873497.760000,0.132354,
250,-2231.200000,4978253.440000,0.150420,
300,-2182.000000,4761124.000000,0.154326,
350,-2246.800000,5048110.240000,0.174346,
400,-2234.000000,4990756.000000,0.169463,
450,-2253.200000,5076910.240000,0.174834,
500,-2290.800000,5247764.640000,0.190459,
550,-2281.200000,5203873.440000,0.196319,
600,-2336.800000,5460634.240000,0.175323,
650,-2294.800000,5266107.040000,0.164092,
700,-2279.200000,5194752.640000,0.185088,
750,-2378.000000,5654884.000000,0.158721,
800,-2430.000000,5904900.000000,0.183623,
850,-2442.400000,5965317.760000,0.182647,
900,-2469.600000,6098924.160000,0.193389,
950,-2512.400000,6312153.760000,0.200713,
1000,-2518.400000,6342338.560000,0.187530,
1050,-2542.400000,6463797.760000,0.185088,
1100,-2547.600000,6490265.760000,0.180205,
1150,-2580.400000,6658464.160000,0.170928,
1200,-2611.600000,6820454.560000,0.181182,
1250,-2587.200000,6693603.840000,0.195342,
1300,-2680.800000,7186688.640000,0.205596,
1350,-2627.200000,6902179.840000,0.205108,
1400,-2608.000000,6801664.000000,0.204131,
1450,-2611.200000,6818365.440000,0.200713,
1500,-2622.400000,6876981.760000,0.191436,
1550,-2668.400000,7120358.560000,0.213408,
1600,-2655.600000,7052211.360000,0.217315,
1650,-2603.600000,6778732.960000,0.216826,
1700,-2595.200000,6735063.040000,0.215850,
1750,-2648.400000,7014022.560000,0.207061,
1800,-2546.400000,6484152.960000,0.205596,
1850,-2592.000000,6718464.000000,0.217315,
1900,-2555.200000,6529047.040000,0.232451,
1950,-2636.800000,6952714.240000,0.214873,
2000,-2626.400000,6897976.960000,0.221709,
2050,-2564.400000,6576147.360000,0.224639,
2100,-2607.600000,6799577.760000,0.214873,
2150,-2576.800000,6639898.240000,0.219268,
2200,-2627.600000,6904281.760000,0.231963,
2250,-2622.000000,6874884.000000,0.258330,
2300,-2670.000000,7128900.000000,0.261748,
2350,-2694.800000,7261947.040000,0.268584,
2400,-2675.200000,7156695.040000,0.254424,
2450,-2704.400000,7313779.360000,0.255889,
2500,-2752.400000,7575705.760000,0.264190,
2550,-2672.800000,7143859.840000,0.270537,
2600,-2694.400000,7259791.360000,0.262237,
2650,-2659.600000,7073472.160000,0.250030,
2700,-2679.600000,7180256.160000,0.242705,
2750,-2677.600000,7169541.760000,0.255401,
2800,-2685.600000,7212447.360000,0.246612,
2850,-2636.400000,6950604.960000,0.250518,
2900,-2672.800000,7143859.840000,0.262725,
2950,-2717.200000,7383175.840000,0.270537,
3000,-2722.400000,7411461.760000,0.278350,
3050,-2688.000000,7225344.000000,0.274444,
3100,-2738.800000,7501025.440000,0.274932,
3150,-2785.600000,7759567.360000,0.273955,
3200,-2769.600000,7670684.160000,0.293487,
3250,-2812.400000,7909593.760000,0.280791,
3300,-2785.600000,7759567.360000,0.289580,
3350,-2778.800000,7721729.440000,0.274932,
3400,-2850.400000,8124780.160000,0.274932,
3450,-2754.400000,7586719.360000,0.265655,
3500,-2808.400000,7887110.560000,0.271026,
3550,-2855.600000,8154451.360000,0.270537,
3600,-2819.600000,7950144.160000,0.257842,
3650,-2880.800000,8299008.640000,0.261260,
3700,-2928.000000,8573184.000000,0.260772,
3750,-2894.800000,8379867.040000,0.267119,
3800,-2891.600000,8361350.560000,0.265166,
3850,-2900.000000,8410000.000000,0.265166,
3900,-2874.400000,8262175.360000,0.270049,
3950,-2829.200000,8004372.640000,0.273467,
4000,-2882.000000,8305924.000000,0.285186,
4050,-2882.800000,8310535.840000,0.271026,
4100,-2859.200000,8175024.640000,0.273467,
4150,-2895.200000,8382183.040000,0.264678,
4200,-2896.400000,8389132.960000,0.272979,
4250,-2885.200000,8324379.040000,0.279815,
4300,-2838.000000,8054244.000000,0.274932,
4350,-2774.000000,7695076.000000,0.278350,
4400,-2891.200000,8359037.440000,0.275420,
4450,-2873.600000,8257576.960000,0.265655,
4500,-2879.600000,8292096.160000,0.265166,
4550,-2882.800000,8310535.840000,0.256866,
4600,-2856.400000,8159020.960000,0.244658,
4650,-2891.200000,8359037.440000,0.245147,
4700,-2908.800000,8461117.440000,0.236846,
4750,-2897.600000,8396085.760000,0.250518,
4800,-2904.400000,8435539.360000,0.240264,
4850,-2883.600000,8315148.960000,0.230498,
4900,-2926.400000,8563816.960000,0.225616,
4950,-2863.600000,8200204.960000,0.218780,
5000,-2911.200000,8475085.440000,0.216826,
5050,-2880.000000,8294400.000000,0.209502,
5100,-2942.000000,8655364.000000,0.214385,
5150,-2914.400000,8493727.360000,0.224639,
5200,-2910.000000,8468100.000000,0.224151,
